d1 number of elements:  1000
	First Element: 0.0465479015435666
	Sorted
	First Sorted Distance: 0.0436262405906764
Cluster Count: 13	Start Value: 0.02714975	End Value: 0.02814975
d14 number of elements:  1000
	First Element: 0.0305135826828212
	Sorted
	First Sorted Distance: 0.0302359848173299
	Clustering Elements
Cluster Count: 98	Start Value: 0.03023599	End Value: 0.03123599
Cluster Count: 38	Start Value: 0.03123599	End Value: 0.03223598
Cluster Count: 692	Start Value: 0.03223598	End Value: 0.03323599
Cluster Count: 145	Start Value: 0.03323599	End Value: 0.03423598
Cluster Count: 27	Start Value: 0.03423598	End Value: 0.03523599
d15 number of elements:  1000
	First Element: 0.0546414415887544
	Sorted
	First Sorted Distance: 0.0529214833973865
	Clustering Elements
Cluster Count: 15	Start Value: 0.05292149	End Value: 0.05392148
Cluster Count: 81	Start Value: 0.05392148	End Value: 0.05492148
Cluster Count: 130	Start Value: 0.05492148	End Value: 0.05592148
Cluster Count: 361	Start Value: 0.05592148	End Value: 0.05692148
Cluster Count: 266	Start Value: 0.05692148	End Value: 0.05792148
Cluster Count: 126	Start Value: 0.05792148	End Value: 0.05892148
Cluster Count: 21	Start Value: 0.05892148	End Value: 0.05992148
d16 number of elements:  1000
	First Element: 0.0448684514569059
	Sorted
	First Sorted Distance: 0.0374494998724215
	Clustering Elements
Cluster Count: 4	Start Value: 0.0374495	End Value: 0.0384495
Cluster Count: 19	Start Value: 0.0384495	End Value: 0.0394495
Cluster Count: 34	Start Value: 0.0394495	End Value: 0.0404495
Cluster Count: 103	Start Value: 0.0404495	End Value: 0.0414495
Cluster Count: 160	Start Value: 0.0414495	End Value: 0.0424495
Cluster Count: 168	Start Value: 0.0424495	End Value: 0.0434495
Cluster Count: 173	Start Value: 0.0434495	End Value: 0.0444495
Cluster Count: 125	Start Value: 0.0444495	End Value: 0.0454495
Cluster Count: 97	Start Value: 0.0454495	End Value: 0.0464495
Cluster Count: 60	Start Value: 0.0464495	End Value: 0.0474495
Cluster Count: 32	Start Value: 0.0474495	End Value: 0.0484495
Cluster Count: 14	Start Value: 0.0484495	End Value: 0.0494495
